,Country,FLIGHT_COUNT
0,American Samoa,7
1,Argentina,7
2,Australia,1309
3,Austria,21
4,Azerbaijan,2
5,Barbados,2
6,Belgium,169
7,Brazil,28
8,Brunei Darussalam,3
9,Bulgaria,3
10,Burundi,34
11,Cambodia,68
12,Cameroon,3
13,Canada,263
14,Chile,2
15,China,672618
16,Cocos (Keeling) Islands,7
17,"Congo, The Democratic Republic of the",5
18,Costa Rica,2
19,Cyprus,7
20,Denmark,14
21,Ecuador,7
22,Egypt,21
23,Faroe Islands,5
24,France,684
25,Georgia,4
26,Germany,197
27,Ghana,4
28,Greenland,6
29,Guam,3
30,Guinea,36
31,Honduras,9
32,Hong Kong,4144
33,Hungary,26
34,India,83
35,Indonesia,318
36,"Iran, Islamic Republic of",9
37,Ireland,2
38,Israel,38
39,Italy,168
40,Japan,8671
41,Kazakhstan,3
42,Kenya,20
43,"Korea, Republic of",5750
44,Lao People's Democratic Republic,6
45,Macao,200
46,Malaysia,1267
47,Maldives,3
48,Mexico,19
49,Mongolia,18
50,Montserrat,5
51,Morocco,6
52,Mozambique,3
53,Netherlands,214
54,New Zealand,15
55,Nicaragua,20
56,Niger,9
57,Nigeria,40
58,Norway,17
59,Pakistan,113
60,"Palestine, State of",8
61,Peru,15
62,Philippines,425
63,Pitcairn,4
64,Puerto Rico,5
65,Romania,7
66,Russian Federation,2
67,Saudi Arabia,4
68,Senegal,14
69,Singapore,616
70,Slovenia,8
71,South Africa,8
72,Spain,30
73,Sweden,10
74,Switzerland,54
75,"Taiwan, Province of China",676
76,Thailand,266
77,Tokelau,5
78,Türkiye,4
79,Ukraine,14
80,United Arab Emirates,38
81,United Kingdom,21
82,United States,3146
83,Uruguay,5
84,Uzbekistan,30
85,Viet Nam,399
86,Yemen,11
